Song Name,Artist,Album,Duration,Youtube Link
places to be,"Fred again..,Anderson .Paak,CHIKA",places to be - Single,3:46,https://www.youtube.com/watch?v=pX9E8JEUC8Y
adore u,"Fred again..,Obongjayar",adore u - Single,3:40,https://www.youtube.com/watch?v=peIBCNTY8hA
Baxter (These Are My Friends),"Fred again..,Baxter Dury",Baxter (These Are My Friends) - Single,4:04,https://www.youtube.com/watch?v=Gzwbt7Z0J00
leavemealone,"Fred again..,Baby Keem",leavemealone - Single,3:42,https://www.youtube.com/watch?v=rNv8K8AYGi8
Kyle (I Found You),Fred again..,Actual Life (April 14 - December 17 2020),3:16,https://www.youtube.com/watch?v=G04fG-4JcrI
Dermot (See Yourself In My Eyes),Fred again..,Actual Life (April 14 - December 17 2020),3:48,https://www.youtube.com/watch?v=MsLuIY008T8
Sabrina (I Am A Party),Fred again..,Actual Life (April 14 - December 17 2020),3:19,https://www.youtube.com/watch?v=BkL4oMeSgDA
Angie (I’ve Been Lost),Fred again..,Actual Life (April 14 - December 17 2020),4:45,https://www.youtube.com/watch?v=sJlAuZK7H4k
Faisal (Envelops Me),Fred again..,Actual Life 2 (February 2 - October 15 2021),4:10,https://www.youtube.com/watch?v=zmOOSyjOfUo
Delilah (pull me out of this),"Fred again..,Delilah Montagu",Actual Life 3 (January 1 - September 9 2022),4:10,https://www.youtube.com/watch?v=7exVPb0_KL8
Kammy (like i do),Fred again..,Actual Life 3 (January 1 - September 9 2022),3:58,https://www.youtube.com/watch?v=H80SKrO_dIM
Danielle (smile on my face),Fred again..,Actual Life 3 (January 1 - September 9 2022),3:21,https://www.youtube.com/watch?v=vbIi1gi49FE
Kelly (end of a nightmare),Fred again..,Actual Life 3 (January 1 - September 9 2022),4:17,https://www.youtube.com/watch?v=x2lD0k-XnK4
Clara (the night is dark),Fred again..,Actual Life 3 (January 1 - September 9 2022),4:38,https://www.youtube.com/watch?v=97DXQTS3pFU
Jungle,Fred again..,Jungle - Single,3:18,https://www.youtube.com/watch?v=zBp7KBmgsdU
fear less,"Fred again..,Sampha",ten days,3:34,https://www.youtube.com/watch?v=-nXOxGlmAUM
peace u need,"Fred again..,Joy Anonymous",ten days,5:44,https://www.youtube.com/watch?v=vVn3zOJvuH8
Stay High again.. (Fred again.. & Joy Anonymous Version),"Brittany Howard,Fred again..,Joy Anonymous",Jaime (Reimagined),4:20,https://www.youtube.com/watch?v=arVVzuU8XIg
Turn On The Lights again.. (feat. Future),"Fred again..,Swedish House Mafia",USB,4:27,https://www.youtube.com/watch?v=Q22MCFC0CP0
Marea (We’ve Lost Dancing),"Fred again..,The Blessed Madonna",Marea (We’ve Lost Dancing) - Single,4:45,https://www.youtube.com/watch?v=l4UkYBr1NnA
little mystery,"Fred again..,John Martyn",two more days - Single,2:58,https://www.youtube.com/watch?v=46KewSv2WnY
She's On My Mind,Romy,Mid Air,3:01,https://www.youtube.com/watch?v=oA_cObH_La4
Leave Me Like This,"Skrillex,Bobby Raps",Quest For Fire,3:08,https://www.youtube.com/watch?v=pLPKukKHfSQ
ten,"Fred again..,Jozzy",ten - Single,3:01,https://www.youtube.com/watch?v=x4RXNO9oaS0
Rumble,"Skrillex,Fred again..,Flowdan",Quest For Fire,2:26,https://www.youtube.com/watch?v=7z25ZZ3DHds
Baby again..,"Fred again..,Skrillex,Four Tet",Baby again.. - Single,5:19,https://www.youtube.com/watch?v=uV_QtFVDV-0
